Job,Job Link,Company,Company Link,Salary Range,Contract Type
Front Desk Agent - (in English),https://www.fuzu.com/jobs/front-desk-agent-in-english-villa-rosa-kempinski-ke-da7528ab,Villa Rosa Kempinski (KE),https://www.fuzu.com/company/villa-rosa-kempinski-ke,Confidential,Permanent
Guest Service Center Agent – (in English),https://www.fuzu.com/jobs/guest-service-center-agent-in-english-villa-rosa-kempinski-ke,Villa Rosa Kempinski (KE),https://www.fuzu.com/company/villa-rosa-kempinski-ke,Confidential,Permanent
Bartender – (in English),https://www.fuzu.com/jobs/bartender-in-english-villa-rosa-kempinski-ke,Villa Rosa Kempinski (KE),https://www.fuzu.com/company/villa-rosa-kempinski-ke,Confidential,Permanent
Fleet Dispatcher,https://www.fuzu.com/jobs/fleet-dispatcher-career-directions-ltd,Career Directions Ltd,https://www.fuzu.com/company/career-directions-ltd,Confidential,Permanent
CEO Role,https://www.fuzu.com/jobs/ceo-role-career-directions-ltd,Career Directions Ltd,https://www.fuzu.com/company/career-directions-ltd,Confidential,Permanent
Deputy Vice Chancellor for Academic and Student Affairs,https://www.fuzu.com/jobs/deputy-vice-chancellor-for-academic-and-student-affairs-united-states-international-university-africa,United States International University - Africa,https://www.fuzu.com/company/united-states-international-university-africa,Confidential,Permanent
Onsite Merchandiser,https://www.fuzu.com/jobs/onsite-merchandiser-jumia-kenya,JUMIA KENYA,https://www.fuzu.com/company/jumia-kenya,Confidential,Permanent
Head of Food,https://www.fuzu.com/jobs/head-of-food-safeboda-f9e3e2db,SafeBoda,https://www.fuzu.com/company/safeboda,Confidential,Permanent
Growth Manager,https://www.fuzu.com/jobs/growth-manager-safeboda-4b46461b,SafeBoda,https://www.fuzu.com/company/safeboda,Confidential,Permanent
Category Growth Manager,https://www.fuzu.com/jobs/category-growth-manager-safeboda,SafeBoda,https://www.fuzu.com/company/safeboda,Confidential,Permanent
Director Finance And Accounts,https://www.fuzu.com/jobs/director-finance-and-accounts-county-government-of-kiambu,County Government of Kiambu,https://www.fuzu.com/company/county-government-of-kiambu,Confidential,Permanent
Principal Communication And Public Affairs Officer,https://www.fuzu.com/jobs/principal-communication-and-public-affairs-officer-county-government-of-kiambu,County Government of Kiambu,https://www.fuzu.com/company/county-government-of-kiambu,Confidential,Permanent
Fiscal Analyst III,https://www.fuzu.com/jobs/fiscal-analyst-iii-county-government-of-kiambu,County Government of Kiambu,https://www.fuzu.com/company/county-government-of-kiambu,Confidential,Permanent
Sales and Marketing Executive,https://www.fuzu.com/jobs/sales-and-marketing-executive-uchumi-quick-suppliers-ltd,Uchumi Quick Suppliers Ltd,https://www.fuzu.com/company/uchumi-quick-suppliers-ltd,Confidential,Permanent
Procurement Officer III,https://www.fuzu.com/jobs/procurement-officer-iii-county-government-of-kiambu,County Government of Kiambu,https://www.fuzu.com/company/county-government-of-kiambu,Confidential,Permanent
Corporate Sales Executive,https://www.fuzu.com/jobs/corporate-sales-executive-kava-b9617a91,KAVA AFRICA,https://www.fuzu.com/company/kava,Confidential,Permanent
Software Developer,https://www.fuzu.com/jobs/software-developer-kava-2fe0b20f,KAVA AFRICA,https://www.fuzu.com/company/kava,Confidential,Permanent
"Assistant Manager, Sewerage and Environment",https://www.fuzu.com/jobs/assistant-manager-sewerage-and-environment-export-processing-authority,Export Processing Zone Authority,https://www.fuzu.com/company/export-processing-authority,Confidential,Permanent
Human Resource Officer,https://www.fuzu.com/jobs/human-resource-officer-export-processing-authority,Export Processing Zone Authority,https://www.fuzu.com/company/export-processing-authority,Confidential,Permanent
Secretary/C.E.O Huduma Kenya,https://www.fuzu.com/jobs/secretary-c-e-o-huduma-kenya-ministry-of-public-service-youth-and-gender-affairs,"Ministry of public service, youth and gender affairs",https://www.fuzu.com/company/ministry-of-public-service-youth-and-gender-affairs,Confidential,Permanent
Digital Account Manager,https://www.fuzu.com/jobs/digital-account-manager-tdf-group-ltd-df3d557a,TDF Group Ltd,https://www.fuzu.com/company/tdf-group-ltd,Confidential,Permanent
Social Media Community Manager,https://www.fuzu.com/jobs/social-media-community-manager-tdf-group-ltd-4e61211a,TDF Group Ltd,https://www.fuzu.com/company/tdf-group-ltd,Confidential,Permanent
Assistant Office Administrator,https://www.fuzu.com/jobs/assistant-office-administrator-konza-technopolis,Konza Technopolis,https://www.fuzu.com/company/konza-technopolis,Confidential,Permanent
Sales and Marketing Executive (In the education Sector),https://www.fuzu.com/jobs/sales-and-marketing-executive-in-the-education-sector-iiht-indian-institute-of-hardware-technologies-5a5da37d,"IIHT( iihtnairobi.com) Indian Institute of Hardware Technologies, in Patnership with IPSCOD Technologies (ipscodtechnologies.com) ",https://www.fuzu.com/company/iiht-indian-institute-of-hardware-technologies,Confidential,Permanent
Research Intern,https://www.fuzu.com/jobs/research-intern-kenya-medical-research-institute-15346483,Kenya Medical Research Institute,https://www.fuzu.com/company/kenya-medical-research-institute,Confidential,Permanent
Hub manager East Africa | Kenya,https://www.fuzu.com/jobs/hub-manager-east-africa-kenya-akvo-foundation,AKVO Foundation,https://www.fuzu.com/company/akvo-foundation,Confidential,Permanent
Office Assistant,https://www.fuzu.com/jobs/office-assistant-konza-technopolis-b2d8bec6,Konza Technopolis,https://www.fuzu.com/company/konza-technopolis,Confidential,Permanent
Assistant Office Administrator,https://www.fuzu.com/jobs/assistant-office-administrator-konza-technopolis-0f522c53,Konza Technopolis,https://www.fuzu.com/company/konza-technopolis,Confidential,Permanent
Assistant Property Management Officer,https://www.fuzu.com/jobs/assistant-property-management-officer-konza-technopolis-4bb7b8f4,Konza Technopolis,https://www.fuzu.com/company/konza-technopolis,Confidential,Permanent
Senior Assistant Supply Chain Management Officer,https://www.fuzu.com/jobs/senior-assistant-supply-chain-management-officer-konza-technopolis-8907851b,Konza Technopolis,https://www.fuzu.com/company/konza-technopolis,Confidential,Permanent
Office Administrator,https://www.fuzu.com/jobs/office-administrator-konza-technopolis-efccc9ac,Konza Technopolis,https://www.fuzu.com/company/konza-technopolis,Confidential,Permanent
Accountant,https://www.fuzu.com/jobs/accountant-konza-technopolis-bf62ef72,Konza Technopolis,https://www.fuzu.com/company/konza-technopolis,Confidential,Permanent
Investor Facilitation & One Stop Shop Officer,https://www.fuzu.com/jobs/investor-facilitation-one-stop-shop-officer-konza-technopolis-576107fe,Konza Technopolis,https://www.fuzu.com/company/konza-technopolis,Confidential,Permanent
Internal Auditor,https://www.fuzu.com/jobs/internal-auditor-konza-technopolis-5e440675,Konza Technopolis,https://www.fuzu.com/company/konza-technopolis,Confidential,Permanent
"Manager, ICT & Smart City Solutions",https://www.fuzu.com/jobs/manager-ict-smart-city-solutions-konza-technopolis-4d9f0fec,Konza Technopolis,https://www.fuzu.com/company/konza-technopolis,Confidential,Permanent
"Manager, Marketing & Corporate Communications",https://www.fuzu.com/jobs/manager-marketing-corporate-communications-konza-technopolis-f08c7300,Konza Technopolis,https://www.fuzu.com/company/konza-technopolis,Confidential,Permanent
"Manager, Economic Development, Partnerships & Resource Mobilization",https://www.fuzu.com/jobs/manager-economic-development-partnerships-resource-mobilization-konza-technopolis-c4b40614,Konza Technopolis,https://www.fuzu.com/company/konza-technopolis,Confidential,Permanent
SKILLS2GROW CAREER-START ACCELERATOR (INCLUDING JOB PLACEMENT IN B2B SALES),https://www.fuzu.com/jobs/skills2grow-career-start-accelerator-including-job-placement-in-b2b-sales-yusudi,Yusudi,https://www.fuzu.com/company/yusudi,"KSh8,000 - KSh10,000",Temporary
UK-Kenya Tech Hub Operations Manager,https://www.fuzu.com/jobs/uk-kenya-tech-hub-operations-manager-british-high-commission-nairobi,British High Commission Nairobi,https://www.fuzu.com/company/british-high-commission-nairobi,Confidential,Fixed term
"Intern - ICT Participatory-Habitat Initiative for Latin America Countries, I",https://www.fuzu.com/jobs/intern-ict-participatory-habitat-initiative-for-latin-america-countries-i-united-nations-56912d2c,United Nations,https://www.fuzu.com/company/united-nations,Confidential,Permanent
B2B Customer Support Officer,https://www.fuzu.com/jobs/b2b-customer-support-officer-british-council,British Council,https://www.fuzu.com/company/british-council,Confidential,Permanent
CMR and Logistics Officer,https://www.fuzu.com/jobs/cmr-and-logistics-officer-british-council,British Council,https://www.fuzu.com/company/british-council,Confidential,Permanent
Test Day Delivery Coordinator,https://www.fuzu.com/jobs/test-day-delivery-coordinator-british-council,British Council,https://www.fuzu.com/company/british-council,Confidential,Permanent
Internal Auditor,https://www.fuzu.com/jobs/internal-auditor-kca-university-2a6625c0,KCA University,https://www.fuzu.com/company/kca-university,Confidential,Permanent
Cash Grants & Finance Assistant,https://www.fuzu.com/jobs/cash-grants-finance-assistant-danish-refugee-council,Danish Refugee Council,https://www.fuzu.com/company/danish-refugee-council,Confidential,Permanent
High School Mathematics Teachers (3 months Maternity Cover),https://www.fuzu.com/jobs/high-school-mathematics-teachers-3-months-maternity-cover-nova-academies,Nova Academies,https://www.fuzu.com/company/nova-academies,Confidential,Permanent
Apprentice High School Business Studies Teachers (0 - 2 years experience),https://www.fuzu.com/jobs/apprentice-high-school-business-studies-teachers-0-2-years-experience-nova-academies,Nova Academies,https://www.fuzu.com/company/nova-academies,Confidential,Permanent
Apprentice High School Biology Teachers (0 - 2 years experience),https://www.fuzu.com/jobs/apprentice-high-school-biology-teachers-0-2-years-experience-nova-academies,Nova Academies,https://www.fuzu.com/company/nova-academies,Confidential,Permanent
Sales Manager,https://www.fuzu.com/jobs/sales-manager-hospitality-k-consult-ltd,Hospitality (K) Consult Ltd,https://www.fuzu.com/company/hospitality-k-consult-ltd,Confidential,Permanent
Business Unit Sr Supervisor Surgical innovation,https://www.fuzu.com/jobs/business-unit-sr-supervisor-surgical-innovation-medtronic,Medtronic,https://www.fuzu.com/company/medtronic,Confidential,Permanent
M-pesa Attendants,https://www.fuzu.com/jobs/m-pesa-attendants-brites-management-services-limited-45c4b9e6,Brites Management Services Limited,https://www.fuzu.com/company/brites-management-services-limited,Confidential,Permanent
Food and Beverage Controller,https://www.fuzu.com/jobs/food-and-beverage-controller-brites-management-services-limited,Brites Management Services Limited,https://www.fuzu.com/company/brites-management-services-limited,Confidential,Permanent
Sales Representatives (FMCG),https://www.fuzu.com/jobs/sales-representatives-fmcg-brites-management-services-limited-04b5cb33,Brites Management Services Limited,https://www.fuzu.com/company/brites-management-services-limited,Confidential,Permanent
Sales Representatives - Alcoholic Beverages,https://www.fuzu.com/jobs/sales-representatives-alcoholic-beverages-brites-management-services-limited-f82e7f0b,Brites Management Services Limited,https://www.fuzu.com/company/brites-management-services-limited,Confidential,Permanent
Clinical Officer,https://www.fuzu.com/jobs/clinical-officer-bliss-gvs-health-care-b7c59c29,Bliss GVS Health Care,https://www.fuzu.com/company/bliss-gvs-health-care,Confidential,Permanent
Senior Project Coordinator,https://www.fuzu.com/jobs/senior-project-coordinator-danish-refugee-council-a6f4d845,Danish Refugee Council,https://www.fuzu.com/company/danish-refugee-council,Confidential,Permanent
Trade Sales Representative,https://www.fuzu.com/jobs/trade-sales-representative-unga-group-limited-29ed5a24-f3e9-48a0-81d3-d7e9f73600da,Unga Holdings Limited,https://www.fuzu.com/company/unga-group-limited-29ed5a24-f3e9-48a0-81d3-d7e9f73600da,Confidential,Permanent
Technical Sales Representative,https://www.fuzu.com/jobs/technical-sales-representative-unga-group-limited-29ed5a24-f3e9-48a0-81d3-d7e9f73600da,Unga Holdings Limited,https://www.fuzu.com/company/unga-group-limited-29ed5a24-f3e9-48a0-81d3-d7e9f73600da,Confidential,Permanent
"Regional Director, East Africa",https://www.fuzu.com/jobs/regional-director-east-africa-givedirectly-inc,"GiveDirectly, Inc",https://www.fuzu.com/company/givedirectly-inc,Confidential,Permanent
Distribution Supervisor,https://www.fuzu.com/jobs/distribution-supervisor-unga-group-limited-29ed5a24-f3e9-48a0-81d3-d7e9f73600da,Unga Holdings Limited,https://www.fuzu.com/company/unga-group-limited-29ed5a24-f3e9-48a0-81d3-d7e9f73600da,Confidential,Permanent
Rural Development Interns,https://www.fuzu.com/jobs/rural-development-interns-international-institute-of-rural-reconstruction,IIRR,https://www.fuzu.com/company/international-institute-of-rural-reconstruction,Confidential,Permanent
IIRR Kenya Country Director,https://www.fuzu.com/jobs/iirr-kenya-country-director-international-institute-of-rural-reconstruction,IIRR,https://www.fuzu.com/company/international-institute-of-rural-reconstruction,Confidential,Permanent
Agricultural Economist East & Southern Africa,https://www.fuzu.com/jobs/agricultural-economist-east-southern-africa-international-fertilizer-development-center,International Fertilizer Development Center,https://www.fuzu.com/company/international-fertilizer-development-center,Confidential,Permanent
Shift Electrical & Instrumentation Engineer,https://www.fuzu.com/jobs/shift-electrical-instrumentation-engineer-diageo,Diageo,https://www.fuzu.com/company/diageo,Confidential,Permanent
Maintenance Planner,https://www.fuzu.com/jobs/maintenance-planner-diageo-c84078c9,Diageo,https://www.fuzu.com/company/diageo,Confidential,Permanent
Machine Operators,https://www.fuzu.com/jobs/machine-operators-diageo,Diageo,https://www.fuzu.com/company/diageo,Confidential,Permanent
RTC Development Services Manager,https://www.fuzu.com/jobs/rtc-development-services-manager-diageo,Diageo,https://www.fuzu.com/company/diageo,Confidential,Permanent
Finance and Administration Manager,https://www.fuzu.com/jobs/finance-and-administration-manager-irex,IREX,https://www.fuzu.com/company/irex,Confidential,Permanent
"Monitoring, Evaluation, and Learning Advisor",https://www.fuzu.com/jobs/monitoring-evaluation-and-learning-advisor-irex,IREX,https://www.fuzu.com/company/irex,Confidential,Permanent
"Director, HCD Exchange",https://www.fuzu.com/jobs/director-hcd-exchange-john-snow-inc,"John Snow, Inc",https://www.fuzu.com/company/john-snow-inc,Confidential,Permanent
Supplier Relations,https://www.fuzu.com/jobs/supplier-relations-iqvia,IQVIA,https://www.fuzu.com/company/iqvia,Confidential,Permanent
Field Supervisor,https://www.fuzu.com/jobs/field-supervisor-iqvia,IQVIA,https://www.fuzu.com/company/iqvia,Confidential,Permanent
Programme Coordinator,https://www.fuzu.com/jobs/programme-coordinator-international-livestock-research-institute-ilri-be5677be-0462-48bd-82b6-8be55d140849-a628ce6a,International Livestock Research Institute (ILRI) ,https://www.fuzu.com/company/international-livestock-research-institute-ilri-be5677be-0462-48bd-82b6-8be55d140849,Confidential,Permanent
Software Developer,https://www.fuzu.com/jobs/software-developer-sunafric-software-group,Sunafric Software Group,https://www.fuzu.com/company/sunafric-software-group,Confidential,Permanent
Project Manager,https://www.fuzu.com/jobs/project-manager-sunafric-software-group,Sunafric Software Group,https://www.fuzu.com/company/sunafric-software-group,Confidential,Permanent
Head Of Business Development & Grants,https://www.fuzu.com/jobs/head-of-business-development-grants-feed-the-children,Feed The Children,https://www.fuzu.com/company/feed-the-children,Confidential,Permanent
Manager-Content Generation,https://www.fuzu.com/jobs/manager-content-generation-safaricom,SAFARICOM,https://www.fuzu.com/company/safaricom,Confidential,Permanent
Area Sales Manager,https://www.fuzu.com/jobs/area-sales-manager-regus-c190711a,Regus,https://www.fuzu.com/company/regus,Confidential,Permanent
High End Pharmacy & Surgery Consultation,https://www.fuzu.com/jobs/high-end-pharmacy-surgery-consultation-cci-kenya,CCI Kenya ,https://www.fuzu.com/company/cci-kenya,Confidential,Permanent
Account Manager,https://www.fuzu.com/jobs/account-manager-cci-kenya,CCI Kenya ,https://www.fuzu.com/company/cci-kenya,Confidential,Permanent
Accountant Payable,https://www.fuzu.com/jobs/accountant-payable-skills-geographic-kenya-sgk,Skills Geographic Kenya (SGK),https://www.fuzu.com/company/skills-geographic-kenya-sgk,Confidential,Permanent
Financial Accountant,https://www.fuzu.com/jobs/financial-accountant-skills-geographic-kenya-sgk,Skills Geographic Kenya (SGK),https://www.fuzu.com/company/skills-geographic-kenya-sgk,Confidential,Permanent
Senior Inspector,https://www.fuzu.com/jobs/senior-inspector-kenya-plant-health-inspectorate-service-kephis-2cb9dfa4,Kenya Plant Health Inspectorate Service (KEPHIS),https://www.fuzu.com/company/kenya-plant-health-inspectorate-service-kephis,Confidential,Permanent
Chief Laboratory Technologist,https://www.fuzu.com/jobs/chief-laboratory-technologist-kenya-plant-health-inspectorate-service-kephis-0c99101a,Kenya Plant Health Inspectorate Service (KEPHIS),https://www.fuzu.com/company/kenya-plant-health-inspectorate-service-kephis,Confidential,Permanent
Senior Laboratory Technologist,https://www.fuzu.com/jobs/senior-laboratory-technologist-kenya-plant-health-inspectorate-service-kephis-fdf73025,Kenya Plant Health Inspectorate Service (KEPHIS),https://www.fuzu.com/company/kenya-plant-health-inspectorate-service-kephis,Confidential,Permanent
Support Staff,https://www.fuzu.com/jobs/support-staff-kenya-plant-health-inspectorate-service-kephis-f4b08e09,Kenya Plant Health Inspectorate Service (KEPHIS),https://www.fuzu.com/company/kenya-plant-health-inspectorate-service-kephis,Confidential,Permanent
Drivers,https://www.fuzu.com/jobs/drivers-kenya-plant-health-inspectorate-service-kephis-4a6db6f9,Kenya Plant Health Inspectorate Service (KEPHIS),https://www.fuzu.com/company/kenya-plant-health-inspectorate-service-kephis,Confidential,Permanent
Accountant,https://www.fuzu.com/jobs/accountant-kenya-plant-health-inspectorate-service-kephis-8184683e,Kenya Plant Health Inspectorate Service (KEPHIS),https://www.fuzu.com/company/kenya-plant-health-inspectorate-service-kephis,Confidential,Permanent
Senior Office Administrator,https://www.fuzu.com/jobs/senior-office-administrator-kenya-plant-health-inspectorate-service-kephis-cb5e179c,Kenya Plant Health Inspectorate Service (KEPHIS),https://www.fuzu.com/company/kenya-plant-health-inspectorate-service-kephis,Confidential,Permanent
Office Administrator,https://www.fuzu.com/jobs/office-administrator-kenya-plant-health-inspectorate-service-kephis-0ef251f9,Kenya Plant Health Inspectorate Service (KEPHIS),https://www.fuzu.com/company/kenya-plant-health-inspectorate-service-kephis,Confidential,Permanent
Administrative Officer II,https://www.fuzu.com/jobs/administrative-officer-ii-kenya-plant-health-inspectorate-service-kephis-bfeb2f80,Kenya Plant Health Inspectorate Service (KEPHIS),https://www.fuzu.com/company/kenya-plant-health-inspectorate-service-kephis,Confidential,Permanent
Direct Sales Representative,https://www.fuzu.com/jobs/direct-sales-representative-daraja-microfinance-bank-kenya,Daraja Microfinance Bank Kenya,https://www.fuzu.com/company/daraja-microfinance-bank-kenya,Confidential,Permanent
Head of Enterprise Sales,https://www.fuzu.com/jobs/head-of-enterprise-sales-safeboda,SafeBoda,https://www.fuzu.com/company/safeboda,Confidential,Permanent
Team Leader Sales,https://www.fuzu.com/jobs/team-leader-sales-daraja-microfinance-bank-kenya,Daraja Microfinance Bank Kenya,https://www.fuzu.com/company/daraja-microfinance-bank-kenya,Confidential,Permanent
Relationship Officer,https://www.fuzu.com/jobs/relationship-officer-daraja-microfinance-bank-kenya,Daraja Microfinance Bank Kenya,https://www.fuzu.com/company/daraja-microfinance-bank-kenya,Confidential,Permanent
Internal Auditor,https://www.fuzu.com/jobs/internal-auditor-daraja-microfinance-bank-kenya,Daraja Microfinance Bank Kenya,https://www.fuzu.com/company/daraja-microfinance-bank-kenya,Confidential,Permanent
Credit Manager,https://www.fuzu.com/jobs/credit-manager-daraja-microfinance-bank-kenya,Daraja Microfinance Bank Kenya,https://www.fuzu.com/company/daraja-microfinance-bank-kenya,Confidential,Permanent
Internships,https://www.fuzu.com/jobs/internships-public-service-commision,Public Service Commision,https://www.fuzu.com/company/public-service-commision,Confidential,Temporary
Commissioner for Cooperative Development,https://www.fuzu.com/jobs/commissioner-for-cooperative-development-public-service-commision,Public Service Commision,https://www.fuzu.com/company/public-service-commision,Confidential,Permanent
Vice Chancellor,https://www.fuzu.com/jobs/vice-chancellor-public-service-commision,Public Service Commision,https://www.fuzu.com/company/public-service-commision,Confidential,Permanent
Deputy Vice Chancellor,https://www.fuzu.com/jobs/deputy-vice-chancellor-public-service-commision,Public Service Commision,https://www.fuzu.com/company/public-service-commision,Confidential,Permanent
